X,Y,OBJECTID,fcode,descripci,Nam,DIRECCION,TIPO,icon_url
-79.1832830344065,-0.251270304124645,"100",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Las Palmas,,JARDIN,./0.png
-79.1505149235273,-0.269133659146841,"101",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Matilde Hidalgo,,JARDIN,./0.png
-79.4066504976647,-0.266405091943991,"102",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Las Delicias,,JARDIN,./0.png
-79.0749166970513,-0.094673485740483,"103",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Remigío Tamariz Crespo,,ESCUELA,./0.png
-79.180798738958,-0.242589114364645,"104",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR","Instituto Fe y Alegria, Área de Sordos",,ESCUELA/JARDIN,./0.png
-79.1810367406147,-0.206490596956567,"105",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",ONU,,ESCUELA/JARDIN,./0.png
-79.2083717853583,-0.262496152602626,"106",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Educacíón Popular El Condor,FRENTE AL CEMENTERÍO,ESCUELA/JARDIN,./0.png
-79.1697330182625,-0.239603532088781,"107",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin 13 de Abril,,JARDIN,./0.png
-79.2849774122742,-0.16338409756694,"108",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Abraham Calazacón,,ESCUELA/JARDIN,./0.png
-79.1697330182625,-0.239603532088781,"109",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Rodrigo Chavez,,JARDIN,./0.png
-79.1598214297989,-0.269497079664971,"110",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Elema Elizabeth,,JARDIN,./0.png
-79.1984001894161,-0.270334825850881,"111",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Maria Díoselina de La Cueva,VILLA FLORIDA KM 3 1/2,JARDIN,./0.png
-79.211767627672,-0.259060349118029,"112",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Julío Jaramillo Laurido,,ESCUELA/JARDIN,./0.png
-79.2118125398356,-0.259060355500564,"113",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Vertiente de vida,,ESCUELA/JARDIN,./0.png
-79.1544716675662,-0.244348828901224,"114",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Nueva Vida,URB. BRISAS,JARDIN,./0.png
-79.2082999260134,-0.262496142235151,"115",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Juan XXIII,,JARDIN,./0.png
-79.169021611487,-0.24924913519066,"116",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Charles Darwin,,ESCUELA/JARDIN,./0.png
